CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
0_to_200,20,credits_paid_to_date,furniture,2442,less_100,unemployed,3,female,none,1,real_estate,42,none,own,1,skilled,1,none,yes,No Risk
greater_200,4,all_credits_paid_back,education,4206,less_100,unemployed,1,female,none,3,savings_insurance,27,none,own,1,management_self-employed,1,none,yes,No Risk
greater_200,23,credits_paid_to_date,car_used,2963,greater_1000,greater_7,4,male,none,4,car_other,46,none,own,2,skilled,1,none,yes,Risk
no_checking,31,prior_payments_delayed,vacation,2673,500_to_1000,1_to_4,3,male,none,2,real_estate,35,stores,rent,1,skilled,2,none,yes,Risk
no_checking,37,prior_payments_delayed,other,6971,500_to_1000,1_to_4,3,male,none,3,savings_insurance,54,none,own,2,skilled,1,yes,yes,Risk
no_checking,14,all_credits_paid_back,car_new,1525,500_to_1000,4_to_7,3,male,none,4,real_estate,33,none,own,1,skilled,1,none,yes,No Risk
less_0,10,prior_payments_delayed,furniture,4037,less_100,4_to_7,3,male,none,3,savings_insurance,31,none,rent,1,skilled,1,none,yes,Risk
0_to_200,28,credits_paid_to_date,retraining,1152,less_100,less_1,2,female,none,2,savings_insurance,20,stores,own,1,skilled,1,none,yes,No Risk
less_0,17,credits_paid_to_date,car_new,1880,less_100,less_1,3,female,co-applicant,2,savings_insurance,41,none,own,1,skilled,1,none,yes,No Risk
0_to_200,39,prior_payments_delayed,appliances,5685,100_to_500,1_to_4,4,female,none,2,unknown,37,none,own,2,skilled,1,yes,yes,Risk
no_checking,32,prior_payments_delayed,radio_tv,5105,500_to_1000,1_to_4,4,male,none,5,savings_insurance,44,none,own,2,management_self-employed,1,none,yes,Risk
no_checking,38,prior_payments_delayed,appliances,4990,500_to_1000,greater_7,4,male,none,4,car_other,50,bank,own,2,unemployed,2,yes,yes,Risk
less_0,17,credits_paid_to_date,furniture,1017,less_100,less_1,2,female,none,1,car_other,30,none,own,1,skilled,1,none,yes,No Risk
less_0,33,all_credits_paid_back,car_new,3618,500_to_1000,4_to_7,2,male,none,3,unknown,31,stores,own,2,unskilled,1,none,yes,No Risk
less_0,12,no_credits,car_new,3037,less_100,less_1,1,female,none,2,car_other,31,stores,own,1,skilled,1,none,yes,No Risk
no_checking,23,prior_payments_delayed,furniture,1440,100_to_500,1_to_4,3,female,none,3,real_estate,39,stores,own,1,unskilled,1,yes,yes,No Risk
less_0,18,prior_payments_delayed,retraining,4032,less_100,1_to_4,2,female,none,2,car_other,36,none,rent,1,skilled,1,none,yes,No Risk
no_checking,11,prior_payments_delayed,car_used,944,greater_1000,1_to_4,3,male,none,4,real_estate,35,none,own,1,management_self-employed,1,yes,yes,No Risk
no_checking,36,prior_payments_delayed,appliances,5927,unknown,greater_7,4,male,co-applicant,3,savings_insurance,47,none,own,2,skilled,1,none,yes,Risk
no_checking,50,outstanding_credit,other,4694,unknown,greater_7,4,male,none,4,unknown,37,none,own,1,skilled,2,yes,yes,Risk
no_checking,32,prior_payments_delayed,radio_tv,10584,100_to_500,1_to_4,3,male,co-applicant,3,unknown,46,stores,own,2,unskilled,2,yes,yes,No Risk
no_checking,41,prior_payments_delayed,furniture,8900,500_to_1000,4_to_7,4,male,co-applicant,3,car_other,26,none,free,2,skilled,1,yes,yes,Risk
0_to_200,14,credits_paid_to_date,car_used,1144,100_to_500,less_1,2,female,none,2,real_estate,33,none,rent,1,skilled,1,none,yes,No Risk
no_checking,14,outstanding_credit,appliances,1680,100_to_500,greater_7,4,male,none,3,car_other,47,none,own,1,management_self-employed,1,none,yes,No Risk
0_to_200,23,credits_paid_to_date,retraining,3387,less_100,less_1,3,female,none,3,savings_insurance,28,none,own,1,skilled,1,none,yes,No Risk
no_checking,14,credits_paid_to_date,furniture,1269,500_to_1000,greater_7,2,male,none,2,savings_insurance,39,none,own,1,skilled,1,none,yes,No Risk
no_checking,36,prior_payments_delayed,appliances,9570,100_to_500,4_to_7,4,male,co-applicant,3,car_other,53,none,free,2,skilled,1,yes,yes,No Risk
less_0,16,credits_paid_to_date,car_new,1428,less_100,4_to_7,1,male,none,1,car_other,20,bank,rent,1,unemployed,1,yes,yes,No Risk
no_checking,24,outstanding_credit,car_used,4620,greater_1000,1_to_4,3,male,none,4,savings_insurance,40,none,own,2,skilled,1,yes,yes,No Risk
no_checking,34,prior_payments_delayed,furniture,2196,500_to_1000,greater_7,3,male,none,4,savings_insurance,27,none,own,1,skilled,1,none,yes,No Risk
no_checking,25,prior_payments_delayed,car_used,8708,100_to_500,1_to_4,4,male,none,5,car_other,43,none,free,2,management_self-employed,1,none,yes,No Risk
no_checking,37,outstanding_credit,radio_tv,10550,unknown,greater_7,5,male,co-applicant,4,unknown,48,stores,own,2,unemployed,2,yes,yes,Risk
no_checking,27,prior_payments_delayed,radio_tv,4981,500_to_1000,4_to_7,4,male,none,4,savings_insurance,47,none,own,2,management_self-employed,2,yes,yes,No Risk
less_0,13,all_credits_paid_back,car_new,2436,less_100,less_1,2,female,none,1,savings_insurance,19,stores,own,1,skilled,1,none,yes,No Risk
greater_200,25,outstanding_credit,appliances,4136,100_to_500,4_to_7,3,male,none,2,car_other,46,bank,own,1,unemployed,1,yes,yes,No Risk
no_checking,15,credits_paid_to_date,retraining,4014,less_100,1_to_4,4,male,co-applicant,4,savings_insurance,33,none,own,1,skilled,1,yes,yes,Risk
no_checking,28,prior_payments_delayed,appliances,5440,100_to_500,4_to_7,3,male,none,2,unknown,40,none,own,2,skilled,1,yes,yes,Risk
less_0,13,prior_payments_delayed,appliances,250,500_to_1000,4_to_7,2,male,none,3,car_other,28,stores,own,1,skilled,1,none,yes,No Risk
less_0,19,credits_paid_to_date,furniture,2111,less_100,4_to_7,3,male,none,2,savings_insurance,34,bank,own,1,unemployed,2,none,yes,No Risk
no_checking,27,prior_payments_delayed,appliances,6455,100_to_500,4_to_7,3,male,none,4,car_other,43,none,own,1,skilled,1,none,yes,Risk
less_0,17,credits_paid_to_date,car_used,250,less_100,4_to_7,3,female,none,2,real_estate,40,none,free,2,skilled,1,none,yes,No Risk
no_checking,27,prior_payments_delayed,radio_tv,4521,100_to_500,less_1,4,male,none,4,savings_insurance,28,none,own,1,management_self-employed,2,yes,yes,No Risk
no_checking,37,prior_payments_delayed,other,7945,500_to_1000,1_to_4,4,male,none,4,savings_insurance,39,none,own,2,management_self-employed,1,none,yes,No Risk
