miniloan-payment-default-risk-v2.0
creditScore,income,loanAmount,monthDuration,rate,yearlyReimbursement,paymentDefaultRisk
525,177833,19557,28,0.09,1835,0.075112539
431,197951,93944,17,0.07,9372,0.176650164
620,208344,46597,4,0.06,14991,0.096236118
347,192454,309680,23,0.08,29716,0.474324056
389,54443,131935,13,0.07,15481,0.670107405
301,81550,46088,21,0.08,4544,0.224344032
682,174334,370370,30,0.09,34323,0.567778187
699,297725,50559,8,0.06,8668,0.078219825
668,166170,81564,12,0.06,10244,0.160136831
797,258482,474059,13,0.07,57337,0.489870542
570,299394,48914,3,0.06,17724,0.084703821
630,229111,435160,16,0.07,45484,0.514517882
578,130819,65165,19,0.08,6800,0.167785347
301,102793,84320,14,0.07,9618,0.288128808
365,152456,78493,20,0.08,7919,0.197207337
832,91952,122960,25,0.08,11412,0.364352932
729,270124,471833,21,0.08,47279,0.47097541
479,153113,552558,21,0.08,54915,0.954398281
791,237872,379134,8,0.06,60560,0.430069863
328,180852,290111,22,0.08,28066,0.47725323
716,150724,241451,6,0.06,52878,0.435401525
595,203211,27730,21,0.08,2730,0.076131594
551,221135,500673,24,0.08,47377,0.61139846
775,215923,95452,14,0.07,10722,0.142774313
760,105801,124136,30,0.09,11511,0.326218997
652,138187,260597,13,0.07,30451,0.509800714
565,184385,188784,22,0.08,18474,0.30021221
376,207371,139835,17,0.07,14066,0.23507007
353,147693,126108,12,0.06,15596,0.284284592
449,159659,265440,7,0.06,50884,0.471315111
536,211075,271517,11,0.06,35613,0.368230089
341,135777,77635,27,0.09,7357,0.216259569
716,257043,40894,6,0.06,9077,0.074689702
599,154991,476445,19,0.08,49618,0.810240527
475,144609,46299,6,0.06,9632,0.132673278
746,131593,45909,10,0.06,6353,0.120729849
352,139382,491451,23,0.08,47284,0.952504913
532,9549,3948,2,0.06,2748,0.15035409
670,195307,498959,10,0.06,69931,0.675998938
372,209040,26672,24,0.08,2524,0.099102502
494,240885,396605,17,0.07,39894,0.462219675
539,98408,12185,16,0.07,1262,0.077337498
322,298979,27056,21,0.08,2664,0.100263414
359,183798,246142,27,0.09,23402,0.4044375
591,223652,130076,8,0.06,21317,0.187701181
608,200123,370793,28,0.09,34838,0.504324799
417,170190,135392,16,0.07,14286,0.258835639
516,261365,200460,23,0.08,19111,0.24019296
812,154825,68641,15,0.07,7314,0.141624606
383,143140,84132,24,0.08,7932,0.21221421
666,245339,286858,29,0.09,26706,0.329845324
586,217086,380005,23,0.08,36513,0.48028246
676,273262,758040,24,0.08,71139,0.730492506
728,293094,273826,11,0.06,36542,0.267905659
653,119808,155683,20,0.08,15762,0.363144198
387,195882,576619,27,0.09,54554,0.800525959
806,263215,774193,28,0.09,72905,0.766341154
721,189748,141487,25,0.08,13248,0.221088413
569,29961,58261,12,0.06,6932,0.530077047
734,293059,675052,23,0.08,64439,0.609926921
635,267426,380586,8,0.06,59795,0.395156352
557,178712,173439,27,0.09,16436,0.28750691
390,119699,287017,9,0.06,42451,0.663558282
602,98768,61913,21,0.08,6153,0.198241446
715,246982,380008,7,0.06,72847,0.419616548
414,196143,397077,18,0.08,42703,0.566492988
472,63325,62171,15,0.07,6603,0.298410239
818,211405,76659,17,0.07,7586,0.121216542
584,207740,572374,25,0.08,53473,0.731618752
508,214005,274557,16,0.07,28787,0.369949263
502,228671,169513,20,0.08,17162,0.235124909
530,263049,88849,3,0.06,45235,0.131611303
387,192493,128370,23,0.08,12402,0.231319831
615,185686,118733,15,0.07,12651,0.200507639
527,29572,46876,10,0.06,6790,0.443725358
665,138471,279240,16,0.07,29187,0.541742868
666,93123,34293,9,0.06,5183,0.12960126
521,189094,519188,29,0.09,48535,0.734399867
392,120351,102330,8,0.06,17224,0.276341255
349,158136,446866,16,0.07,46000,0.778091603
712,104130,30275,26,0.09,2914,0.107797945
724,201094,158475,13,0.07,18518,0.231546459
757,182688,647657,25,0.08,60306,0.919313471
676,211797,43088,4,0.06,13562,0.08784227
620,266629,412786,28,0.09,38727,0.427364125
413,262135,410949,17,0.07,40885,0.45245765
515,159845,462808,29,0.09,43144,0.772382408
588,232012,89143,25,0.08,8337,0.138571306
360,194510,258494,26,0.09,24906,0.401681862
540,197366,179641,28,0.09,16854,0.273844354
543,132537,425505,18,0.08,45656,0.848656012
740,190111,183415,22,0.08,17949,0.274978402
471,99331,233372,28,0.09,21960,0.640437991
805,243309,512281,13,0.07,60620,0.557424633
495,249040,76305,22,0.08,7501,0.127104191
381,182850,133498,28,0.09,12525,0.248140725
657,256155,962640,23,0.08,91657,0.977561032
429,180586,374397,11,0.06,50258,0.57658351
305,181773,228106,20,0.08,23261,0.395690923
682,169795,399371,13,0.07,47259,0.624676268
848,225915,111130,6,0.06,22038,0.152458801
425,121232,167429,26,0.09,16102,0.404089218
838,174824,595728,30,0.09,55314,0.8817297
401,118773,247742,13,0.07,28596,0.583805246
365,269918,324923,20,0.08,33073,0.369439179
727,271167,792483,19,0.08,82203,0.765010538
356,256648,531284,26,0.09,50862,0.587746773
666,169872,124593,7,0.06,21982,0.220900599
410,263584,464293,19,0.08,48648,0.50134092
559,153141,177551,28,0.09,16745,0.334571617
500,172153,549130,22,0.08,53348,0.847444715
806,279362,665556,11,0.06,84025,0.626620924
665,154128,91950,28,0.09,8679,0.1867395
428,283360,120942,18,0.08,12977,0.165114702
331,75922,132219,16,0.07,13951,0.510906457
410,24237,66485,20,0.08,6719,0.746755616
612,273404,209897,26,0.09,20131,0.232779016
828,137561,467804,16,0.07,49361,0.880368795
796,252040,216202,29,0.09,20155,0.245859106
381,215115,165173,5,0.06,42573,0.25757575
781,263506,283933,8,0.06,45737,0.301390257
550,105150,126231,8,0.06,20163,0.345575801
741,207607,214486,21,0.08,21421,0.292021872
337,263426,368462,26,0.09,35535,0.42386662
611,269398,32644,10,0.06,4546,0.071209999
682,293149,203738,26,0.09,19505,0.210406418
710,297379,117324,5,0.06,30749,0.13384298
611,57667,66210,22,0.08,6489,0.327952443
370,241353,281053,8,0.06,48185,0.358689907
328,256469,4087,18,0.08,432,0.080203424
317,251448,510954,15,0.07,55749,0.58687595
598,288532,740297,28,0.09,69984,0.683240072
762,233201,848447,29,0.09,78882,0.94237461
562,213934,304,3,0.06,123,0.044839236
496,98401,72905,24,0.08,6924,0.235627461
728,69992,58484,18,0.08,6261,0.243235962
610,98168,157394,26,0.09,15055,0.441811779
619,140976,391502,16,0.07,41179,0.734658378
625,161684,108146,19,0.08,11196,0.207218154
372,209343,137229,8,0.06,22105,0.23108487
676,72357,41443,19,0.08,4342,0.180171574
477,71082,3396,13,0.07,394,0.064354854
625,96269,223460,22,0.08,21835,0.620301031
694,197820,575436,30,0.09,53127,0.763244771
787,162249,556669,20,0.08,56359,0.889504923
469,155082,182976,13,0.07,22131,0.348271438
794,211318,242886,20,0.08,24768,0.318832704
657,206038,307890,18,0.08,32601,0.411635749
809,56185,18070,21,0.08,1787,0.111306371
757,174455,16317,6,0.06,3274,0.05640792
537,297307,170546,4,0.06,48501,0.189963936
689,213182,178182,28,0.09,16717,0.245239729
654,142952,153943,23,0.08,14658,0.307447787
425,164348,219012,13,0.07,25807,0.391976351
616,188668,46271,15,0.07,5031,0.101897145
616,267072,820994,30,0.09,75939,0.80909815
392,178377,167602,18,0.08,17943,0.298674068
785,107656,267450,11,0.06,33944,0.652922596
635,211444,364714,25,0.08,33997,0.470588274
358,208154,315559,25,0.08,29383,0.448829443
615,223590,15098,7,0.06,2690,0.057531752
729,287768,120435,9,0.06,17566,0.138922108
819,136582,36201,18,0.08,3867,0.096787422
637,194009,590222,15,0.07,64625,0.799806545
612,252873,380324,30,0.09,35179,0.416852647
805,298293,517926,21,0.08,51391,0.465130787
788,235449,667024,25,0.08,62042,0.739972685
489,283068,217110,24,0.08,20422,0.242871957
805,279234,205808,10,0.06,28845,0.21531713
516,209661,398035,12,0.06,47356,0.523066971
750,232922,901565,30,0.09,83602,1.001001694
686,237080,280265,12,0.06,34317,0.331981575
359,205604,615675,30,0.09,56912,0.818255371
506,252311,435748,27,0.09,41394,0.481163954
816,294116,358490,13,0.07,43359,0.335355461
429,160137,488327,24,0.08,46153,0.820633227
706,62383,19931,7,0.06,3863,0.115284288
650,241029,725647,30,0.09,67377,0.791116821
506,275813,112963,28,0.09,10590,0.151798046
384,106882,274142,14,0.07,31028,0.706330005
342,139989,531573,23,0.08,50742,1.022411504
632,278688,374357,15,0.07,40563,0.375377844
764,216038,225349,22,0.08,21988,0.293497238
740,61801,34755,26,0.09,3342,0.174376169
469,115278,317975,14,0.07,36556,0.742887912
600,226356,374295,30,0.09,34708,0.455058624
773,264694,436184,13,0.07,51396,0.444311575
597,223794,594810,13,0.07,68657,0.706337561
840,241652,82576,5,0.06,22806,0.115190538
759,84422,178453,14,0.07,20198,0.561393337
410,264340,208456,5,0.06,51209,0.258123223
748,209359,691008,22,0.08,67522,0.858569695
580,122842,167441,7,0.06,30754,0.383868415
451,115437,56833,24,0.08,5371,0.17851466
487,83503,76337,24,0.08,7206,0.279880383
799,268201,906418,29,0.09,84734,0.876194611
846,234023,575563,22,0.08,56324,0.644408128
518,134826,451055,26,0.09,43542,0.884627567
503,126808,269508,29,0.09,25107,0.58103262
612,191899,13856,29,0.09,1298,0.058900836
627,184703,257356,6,0.06,54214,0.38821001
620,211580,242886,16,0.07,25078,0.327313317
471,227025,389852,17,0.07,38998,0.482383699
643,203961,598320,27,0.09,56607,0.772255747
329,96340,252394,23,0.08,24317,0.730944246
720,100564,12160,21,0.08,1197,0.064951728
808,229690,741881,18,0.08,78897,0.838421329
594,57705,36516,29,0.09,3416,0.200288738
562,292115,584431,21,0.08,58368,0.544656007
722,92116,151156,14,0.07,16729,0.444858789
343,168862,31554,26,0.09,3024,0.119601959
416,246668,119121,28,0.09,11209,0.180826244
533,107531,79496,29,0.09,7406,0.231725437
843,255990,629755,30,0.09,58250,0.644675132
322,113460,57668,19,0.08,5982,0.204706559
336,205239,272020,6,0.06,53944,0.405750169
600,180730,38240,28,0.09,3604,0.094563253
352,175748,507131,26,0.09,48507,0.79241216
403,161149,184477,15,0.07,19656,0.348224849
413,242357,473192,17,0.07,47731,0.548647328
537,262868,143859,9,0.06,20983,0.183371702
388,120975,184583,6,0.06,37034,0.445881636
654,284419,308023,29,0.09,28795,0.308973859
574,128799,355128,16,0.07,36235,0.732860601
730,292944,601328,16,0.07,61535,0.547423155
448,258297,27927,21,0.08,2794,0.082833502
692,103310,135887,27,0.09,12930,0.364960291
780,52488,19277,28,0.09,1809,0.123867507
369,161251,463986,29,0.09,43284,0.787104356
456,274534,136830,8,0.06,23681,0.179426614
807,248249,625396,16,0.07,65780,0.660786104
763,205547,372798,9,0.06,58512,0.486187245
654,112020,91123,13,0.07,10876,0.241589538
367,92535,168257,24,0.08,15883,0.522696538
723,230103,30109,5,0.06,8316,0.067290671
500,169085,305350,26,0.09,29312,0.501474111
672,271633,18912,17,0.07,1867,0.054608219
642,229649,38281,18,0.08,4053,0.08061419
584,147837,159435,17,0.07,16220,0.312421036
666,173871,79916,14,0.07,8976,0.152444566
613,77293,25877,2,0.06,17103,0.124480782
838,270622,203348,22,0.08,19870,0.217685364
330,257844,178348,7,0.06,31162,0.248679963
818,299276,396314,9,0.06,60337,0.361622973
380,298947,136283,5,0.06,31541,0.179758672
537,146438,167741,8,0.06,26794,0.332923569
548,288970,494120,24,0.08,46757,0.47310426
695,69425,266025,26,0.09,25681,0.993929451
499,215351,8881,11,0.06,1192,0.060410113
731,95511,281085,14,0.07,31573,0.769939589
658,82124,223559,13,0.07,27039,0.718547109
820,186503,486282,24,0.08,46243,0.682329866
676,229744,884478,29,0.09,82287,0.999442639
351,171911,269704,26,0.09,25890,0.463439647
583,117601,362432,13,0.07,42004,0.813351286
476,172161,331515,17,0.07,32982,0.533923591
530,176044,158412,23,0.08,15201,0.272130617
671,77442,34693,22,0.08,3370,0.149254544
728,280177,668667,20,0.08,67818,0.6309876
693,184467,530472,26,0.09,51016,0.755000372
748,210655,409300,19,0.08,42128,0.519169297
501,250088,120713,14,0.07,13610,0.170570724
517,230216,137949,16,0.07,14200,0.198159779
661,74523,55297,9,0.06,8065,0.223324616
666,248792,133047,8,0.06,22600,0.171230542
847,289917,830732,13,0.07,100029,0.74586924
399,111048,302687,11,0.06,39259,0.744089445
483,208865,86663,28,0.09,8131,0.155490713
614,263369,360226,11,0.06,47793,0.382657008
814,242213,35838,17,0.07,3615,0.067702701
673,217571,62409,8,0.06,10318,0.108858176
769,258786,762034,14,0.07,84646,0.768672065
452,139957,471355,19,0.08,48893,0.897273695
691,253532,354773,19,0.08,36378,0.386010043
597,255132,363587,24,0.08,34447,0.398149466
396,171709,145832,27,0.09,13831,0.275455653
752,95743,188996,11,0.06,25370,0.5267429
530,283171,247015,24,0.08,23263,0.26524917
620,92412,170314,11,0.06,21731,0.501069021
484,149682,192447,10,0.06,27690,0.373079317
775,50626,150323,24,0.08,14157,0.774579204
317,228611,323295,7,0.06,58773,0.432407052
847,245952,226445,15,0.07,23971,0.259687883
587,214355,304845,10,0.06,42725,0.398126981
592,212170,787048,29,0.09,73523,0.969608718
567,189589,153631,20,0.08,15527,0.246675985
454,29775,19006,27,0.09,1798,0.214646264
485,142691,291538,9,0.06,44386,0.562331935
778,54502,21061,10,0.06,2844,0.128740223
610,295617,391745,9,0.06,61485,0.372277984
423,162448,337488,8,0.06,53908,0.578480164
780,243560,337409,10,0.06,46694,0.378381755
509,283122,170876,19,0.08,17588,0.200001398
481,55392,128882,28,0.09,12137,0.633656522
721,281883,148890,29,0.09,13909,0.166723531
439,126731,267220,22,0.08,26150,0.584087771
819,110504,418331,23,0.08,39933,0.976940997
653,33788,81582,21,0.08,8134,0.641916306
840,144264,180194,12,0.06,21744,0.342026226
620,292787,864475,26,0.09,82834,0.778465838
848,264810,396191,14,0.07,45015,0.403514401
598,166700,289998,18,0.08,30448,0.476716038
750,262366,10170,13,0.07,1193,0.043023994
395,91656,145955,6,0.06,29634,0.461396555
647,243515,551184,25,0.08,51212,0.604502349
427,292297,114870,27,0.09,10868,0.156795682
478,58798,133950,21,0.08,13400,0.621835933
595,175052,5192,15,0.07,559,0.049431746
620,213857,312002,15,0.07,33243,0.405054621
472,90406,58653,6,0.06,12202,0.21515943
816,113175,373859,14,0.07,41377,0.856479976
633,176005,337097,16,0.07,34495,0.518311834
772,267851,844273,23,0.08,81563,0.820389625
822,293745,256887,5,0.06,61217,0.249044581
505,299756,20528,30,0.09,1900,0.066625542
659,34474,96331,12,0.06,11680,0.736513456
563,170193,315009,27,0.09,29875,0.507128176
543,109805,122123,27,0.09,11640,0.324085687
698,181346,422768,23,0.08,40356,0.618636201
606,239236,913375,24,0.08,85816,0.995724815
499,196297,499408,22,0.08,48728,0.686136411
387,198967,358452,10,0.06,50895,0.514990754
503,280917,1452,15,0.07,155,0.050993986
628,276990,397721,8,0.06,68832,0.398775847
817,170573,177085,12,0.06,21683,0.290144056
617,136009,505444,27,0.09,47897,0.969582156
528,76488,92222,27,0.09,8775,0.348774852
401,65735,76449,15,0.07,8255,0.353091078
756,67248,120287,19,0.08,12405,0.480245651
574,104154,222813,30,0.09,20635,0.578370241
574,258173,141523,7,0.06,25728,0.180596804
610,285916,835316,12,0.06,103307,0.771369454
785,266707,610486,24,0.08,57560,0.604091207
644,266428,720452,14,0.07,82499,0.714848672
464,175125,445772,22,0.08,43495,0.690241908
787,216515,472142,21,0.08,47076,0.576927044
420,220759,203551,24,0.08,19215,0.290036495
330,85896,177985,16,0.07,18213,0.59378228
783,181361,103923,18,0.08,11151,0.175182818
432,134679,178349,13,0.07,20754,0.388933491
686,215419,364680,23,0.08,34811,0.45966487
410,173800,323218,9,0.06,47143,0.525903688
700,68650,74491,24,0.08,7084,0.306985225
753,291016,693520,27,0.09,66048,0.628975334
710,143436,166466,15,0.07,17737,0.325351121
677,292982,343042,16,0.07,35526,0.329643557
458,51200,10056,28,0.09,949,0.103686715
526,85255,112154,26,0.09,10766,0.376406589
709,281132,538686,27,0.09,51216,0.514293912
349,114839,80466,27,0.09,7676,0.246804565
728,49600,118156,12,0.06,14468,0.629885014
361,275050,296493,29,0.09,27640,0.33874217
574,69822,175730,15,0.07,18663,0.672761134
756,255461,348267,21,0.08,34725,0.373890866
707,289889,605662,20,0.08,61875,0.557683016
652,165883,68523,30,0.09,6367,0.141613634
480,289016,39125,16,0.07,4064,0.085926615
714,119807,59110,23,0.08,5642,0.158358218
353,70056,143338,28,0.09,13519,0.582333749
346,154625,67047,27,0.09,6348,0.180656922
599,246030,150507,3,0.06,68878,0.194671845
763,258086,177640,26,0.09,16976,0.204839825
323,201546,32733,21,0.08,3274,0.118001774
440,207714,18876,29,0.09,1763,0.07953692
412,238218,38765,19,0.08,3990,0.101361886
316,195842,12458,20,0.08,1257,0.09501705
570,296882,189715,25,0.08,17646,0.203615882
595,239816,175132,24,0.08,16633,0.224585943
762,131011,12812,6,0.06,2541,0.057256728
324,183744,165263,20,0.08,16732,0.302015455
343,165871,218024,9,0.06,33442,0.401491056
739,125672,13916,15,0.07,1488,0.061512675
646,222553,733429,18,0.08,77167,0.862580968
803,167282,155211,4,0.06,53518,0.263093354
464,199625,129910,24,0.08,12263,0.216571859
510,165528,315006,26,0.09,30409,0.524778996
301,242638,539418,19,0.08,55628,0.638841228
765,292396,71587,5,0.06,17864,0.093886971
315,206909,185415,15,0.07,19887,0.303394725
843,168006,330136,24,0.08,31054,0.520912255
602,283443,34633,23,0.08,3346,0.072074945
573,206430,374575,18,0.08,40011,0.497264421
543,97398,369581,24,0.08,34846,0.994676525
481,190147,205054,7,0.06,39308,0.321574362
439,192445,510712,28,0.09,48093,0.720399504
341,216312,523783,22,0.08,51181,0.678669704
823,63548,79803,8,0.06,12855,0.344324395
642,211909,479580,25,0.08,44656,0.604726123
542,279726,503758,16,0.07,52654,0.496349967
517,77322,284005,22,0.08,27671,0.966610083
373,44984,102717,15,0.07,10873,0.637877099
696,193129,8936,12,0.06,1063,0.047486938
328,218208,609665,28,0.09,57240,0.774710172
696,280958,976717,19,0.08,100532,0.905014743
337,131242,172847,25,0.08,16094,0.403436426
377,209191,100861,22,0.08,9900,0.186849971
494,104951,217308,25,0.08,20301,0.568248854
308,119740,79935,26,0.09,7666,0.248061682
546,174404,524953,20,0.08,53338,0.798283188
602,227730,811065,20,0.08,81409,0.931908295
401,113301,225035,18,0.08,24092,0.558886536
581,219753,641426,17,0.07,64341,0.77274171
598,228338,907083,30,0.09,83798,1.034942292
596,95517,116037,14,0.07,12796,0.345654026
802,97575,23549,18,0.08,2533,0.091507709
807,111413,358416,27,0.09,34222,0.835229785
666,299168,467505,11,0.06,60303,0.428208498
667,234380,43619,12,0.06,5341,0.0840072
634,139567,409489,18,0.08,43839,0.772931141
437,81921,224938,23,0.08,21613,0.743656157
491,166507,449894,18,0.08,47638,0.726404615
500,219676,300186,9,0.06,47115,0.391623573
747,126387,145693,22,0.08,14300,0.321655465
709,275793,139778,3,0.06,61900,0.161966467
659,240469,174504,28,0.09,16458,0.219356741
711,164442,97525,29,0.09,9130,0.183428306
497,251583,259118,8,0.06,43221,0.307789399
619,102937,143117,28,0.09,13427,0.387971681
670,254529,873856,30,0.09,80930,0.895620345
614,238656,99593,4,0.06,30055,0.145043552
754,208833,125321,26,0.09,12086,0.183181878
462,100142,112390,25,0.08,10454,0.334689135
568,193779,5472,1,0.06,33058,0.051073673
724,234259,458533,17,0.07,45868,0.523874446
493,155573,376721,13,0.07,44578,0.656086515
645,154982,413678,30,0.09,38385,0.706059763
695,148440,272192,17,0.07,26865,0.494392134
364,74448,70673,23,0.08,6738,0.306004685
830,216357,480941,20,0.08,48866,0.585846666
651,173986,42247,24,0.08,4017,0.099107055
548,265813,76238,30,0.09,7043,0.117323101
848,159212,317266,29,0.09,29638,0.527662802
741,268469,685411,22,0.08,66400,0.671997171
394,226238,338329,13,0.07,39052,0.437315805
541,93170,258290,27,0.09,24599,0.739271792
522,149563,181132,29,0.09,16957,0.350661453
642,203292,368964,17,0.07,36909,0.492677307
617,276431,240567,10,0.06,33292,0.258083781
709,131144,413619,26,0.09,39669,0.823743439
470,254911,12625,3,0.06,5591,0.065573262
437,167900,135577,13,0.07,16112,0.259079888
775,133065,509009,28,0.09,48044,0.988574526
651,55433,60690,11,0.06,7828,0.312111259
323,207092,177231,24,0.08,16652,0.291351392
813,271975,590332,26,0.09,56720,0.573384741
535,190418,74802,29,0.09,6998,0.144936599
450,125212,175756,29,0.09,16442,0.406472401
785,138194,417267,28,0.09,39294,0.786704436
785,191972,158061,5,0.06,41426,0.237685746
705,288033,33234,10,0.06,4688,0.064306646
476,209789,364705,19,0.08,37538,0.487130306
807,119184,30467,24,0.08,2890,0.094886422
659,263231,265734,11,0.06,33726,0.290313457
702,50822,89389,18,0.08,9527,0.475328603
391,295352,481916,29,0.09,45147,0.471855274
794,260360,360815,11,0.06,47060,0.377943935
516,172082,66674,21,0.08,6670,0.145313317
610,230465,81278,7,0.06,15755,0.129151007
740,239403,778940,18,0.08,81956,0.847202997
599,285602,305654,23,0.08,29291,0.309288625
766,270163,249692,17,0.07,24709,0.263693882
717,178241,508803,22,0.08,50016,0.748512232
353,86168,92534,17,0.07,9231,0.339291263
325,212677,297395,25,0.08,27692,0.426508364
737,289502,211373,27,0.09,20182,0.216452857
488,72584,91725,8,0.06,14902,0.367156572
622,285474,546764,10,0.06,77127,0.519014115
763,289803,114114,16,0.07,12041,0.13120641
848,230751,449909,9,0.06,70614,0.516921056
800,196747,304286,12,0.06,38215,0.417896302
417,117408,231928,19,0.08,23872,0.553802543
842,278166,428050,24,0.08,40654,0.414398544
398,168755,474963,21,0.08,47053,0.766442111
613,92767,202775,16,0.07,21328,0.587246216
551,208952,95762,11,0.06,12632,0.159946211
689,238093,572336,10,0.06,78713,0.637242919
618,278460,24235,23,0.08,2335,0.062211137
502,179269,524446,22,0.08,51171,0.781168183
305,148529,296415,25,0.08,27511,0.580884933
304,170632,200296,23,0.08,19095,0.375698795
829,240505,495095,14,0.07,56694,0.544797883
419,216703,366531,25,0.08,34055,0.482515347
841,206398,564971,30,0.09,52356,0.714048796
702,224647,421771,26,0.09,40488,0.504983371
332,201049,252429,23,0.08,24320,0.389191102
672,287823,181804,20,0.08,18279,0.195115404
836,49731,74220,14,0.07,8185,0.403011624
798,289196,411213,28,0.09,38874,0.386807823
444,286771,59796,13,0.07,7232,0.108435008
814,265869,110942,2,0.06,58705,0.135032703
673,97699,233130,27,0.09,22128,0.633698756
643,207024,717042,30,0.09,66283,0.904772609
844,245844,142662,22,0.08,13821,0.174694558
786,230361,246792,13,0.07,28838,0.29963841
550,163431,253228,18,0.08,27110,0.432816796
455,229143,588340,25,0.08,54606,0.696836799
689,55862,8636,3,0.06,4397,0.074933283
385,293192,560830,15,0.07,59953,0.543145589
725,98553,66652,20,0.08,6713,0.203559296
367,125395,76458,28,0.09,7217,0.220554199
314,206361,159091,4,0.06,46125,0.272351684
628,290980,433443,11,0.06,54721,0.412208223
619,174792,108934,25,0.08,10089,0.196192908
746,170108,595569,28,0.09,56258,0.908792768
406,153319,168534,4,0.06,55452,0.336385739
427,211969,330119,22,0.08,32305,0.447896216
443,177760,29022,16,0.07,2979,0.097249678
777,174620,189289,12,0.06,22733,0.303176349
831,275270,766468,15,0.07,81936,0.726189878
753,55383,109859,14,0.07,12531,0.529106315
681,42209,118119,14,0.07,13526,0.736318623
449,237361,143473,13,0.07,16561,0.206791938
343,261374,455784,16,0.07,48093,0.508836315
520,173758,71998,13,0.07,8556,0.151666398
527,54473,121495,27,0.09,11504,0.605031083
682,150174,11090,21,0.08,1092,0.055118809
631,251814,472424,18,0.08,49811,0.508640437
821,228669,5767,1,0.06,14032,0.036755635
511,178293,636053,30,0.09,58981,0.940788475
643,283764,541418,17,0.07,54613,0.515876979
339,156264,458459,14,0.07,51496,0.807214994
581,232652,872850,24,0.08,82495,0.980964459
428,218505,203526,15,0.07,21545,0.291273163
559,213198,145313,25,0.08,13473,0.215119486
561,26907,17647,21,0.08,1740,0.208526189
506,227773,243891,14,0.07,27191,0.317097974
760,292429,114787,26,0.09,11060,0.131027104
428,189508,150896,13,0.07,17632,0.257474051
587,100116,204996,8,0.06,32208,0.554485638
344,220527,60854,28,0.09,5735,0.141661436
328,212660,405351,30,0.09,37424,0.552744247
330,222880,97592,10,0.06,13591,0.185224554
778,233552,176787,21,0.08,17405,0.221370977
659,277185,302273,6,0.06,59943,0.310563754
391,233170,163709,17,0.07,16513,0.239463987
489,198531,225280,21,0.08,22499,0.334808401
431,152951,207591,28,0.09,19625,0.397314289
608,157949,432752,17,0.07,43530,0.726073691
323,227836,308997,17,0.07,30826,0.416455763
475,216295,270804,24,0.08,25688,0.365634653
720,275781,641932,18,0.08,68418,0.61664411
785,264625,32945,27,0.09,3140,0.062971366
471,101599,44319,11,0.06,5655,0.162132287
424,133915,76409,16,0.07,7796,0.201606852
666,49826,14884,3,0.06,6194,0.112217424
498,222153,431425,20,0.08,43757,0.535705163
775,168961,206011,20,0.08,20678,0.337078408
624,247539,419471,9,0.06,61608,0.463705428
653,249403,601835,21,0.08,59909,0.641560461
568,94469,295429,18,0.08,31019,0.825828754
608,276943,19000,5,0.06,4980,0.058269965
811,135366,204590,16,0.07,21519,0.408672128
324,245900,456031,30,0.09,42155,0.540795101
775,219694,393180,11,0.06,51571,0.479675837
468,115658,251090,23,0.08,23968,0.596161199
660,50306,147015,26,0.09,14178,0.768482493
538,27228,29755,13,0.07,3491,0.31967062
596,225675,300894,27,0.09,28608,0.375272995
